qid,raw_query,tokens,oov,n_relevant,P@10,R@10,rank_first_relevant,top10_docs,top10_scores,top10_relevant_flag
1,what similarity laws must be obeyed when constructing aeroelastic models of heated high speed aircraft .,similar law must obey construct aeroelast model heat high speed aircraft .,,29,0.500,0.172,1,51;359;746;12;56;944;879;878;573;486,0.275;0.1962;0.1903;0.1758;0.1619;0.1527;0.1514;0.1481;0.1439;0.1363,1;0;0;1;1;0;1;0;0;1
2,what are the structural and aeroelastic problems associated with flight of high speed aircraft .,structur aeroelast problem associ flight high speed aircraft .,,25,0.400,0.160,1,12;51;746;884;100;1169;253;14;862;875,0.4294;0.3288;0.3107;0.2134;0.2071;0.205;0.1864;0.1726;0.1672;0.163,1;1;1;0;0;0;0;1;0;0
3,what problems of heat conduction in composite slabs have been solved so far .,problem heat conduct composit slab solv far .,,9,0.800,0.889,1,485;5;90;144;91;399;582;181;6;579,0.5803;0.4509;0.3731;0.3644;0.3271;0.2917;0.29;0.2271;0.194;0.1454,1;1;1;1;1;1;0;1;1;0
4,can a criterion be developed to show empirically the validity of flow solutions for chemically reacting gas mixtures based on the simplifying assumption of instantaneous local chemical equilibrium .,criterion develop show empir valid flow solut chemic react ga mixtur base simplifi assumpt instantan local chemic equilibrium .,,3,0.200,0.667,1,166;488;410;1275;1061;167;1189;1374;185;355,0.2602;0.2365;0.2141;0.2069;0.2022;0.1873;0.1769;0.1748;0.1622;0.1549,1;1;0;0;0;0;0;0;0;0
5,what chemical kinetic system is applicable to hypersonic aerodynamic problems .,chemic kinet system applic hyperson aerodynam problem .,,5,0.200,0.400,5,103;1032;410;943;552;401;367;1374;368;1158,0.262;0.2032;0.1916;0.177;0.1634;0.161;0.154;0.1461;0.1365;0.1322,0;0;0;0;1;1;0;0;0;0
6,what theoretical and experimental guides do we have as to turbulent couette flow behaviour .,theoret experiment guid turbul couett flow behaviour .,,5,0.300,0.600,1,491;386;1273;1282;883;257;385;151;99;406,0.2654;0.2011;0.1656;0.1592;0.1523;0.1427;0.1407;0.1306;0.1271;0.1222,1;0;0;0;0;1;0;0;1;0
7,is it possible to relate the available pressure distributions for an ogive forebody at zero angle of attack to the lower surface pressures of an equivalent ogive forebody at angle of attack .,possibl relat avail pressur distribut ogiv forebodi zero angl attack lower surfac pressur equival ogiv forebodi angl attack .,,6,0.300,0.500,1,492;434;233;57;1040;124;56;1231;232;1115,0.6453;0.3255;0.2756;0.2706;0.2559;0.2304;0.2277;0.1921;0.18;0.1657,1;0;0;1;0;0;1;0;0;0
8,what methods -dash exact or approximate -dash are presently available for predicting body pressures at angle of attack.,method -dash exact approxim -dash present avail predict bodi pressur angl attack .,,12,0.300,0.250,2,1083;492;443;122;1231;69;248;1307;354;1115,0.2781;0.2345;0.1663;0.1659;0.1388;0.1246;0.1234;0.1183;0.1136;0.1127,0;1;0;1;0;0;0;0;1;0
9,papers on internal /slip flow/ heat transfer studies .,paper intern /slip flow/ heat transfer studi .,/slip,4,0.000,0.000,37,102;45;846;763;398;5;554;145;983;838,0.2122;0.1689;0.1655;0.1558;0.1487;0.1375;0.1188;0.1158;0.1105;0.1104,0;0;0;0;0;0;0;0;0;0
10,are real-gas transport properties for air available over a wide range of enthalpies and densities .,real-ga transport properti air avail wide rang enthalpi densiti .,,9,0.300,0.333,1,493;302;949;1199;524;1009;1098;405;616;691,0.3305;0.2997;0.2557;0.1828;0.1813;0.1795;0.1679;0.1602;0.1512;0.1473,1;1;0;0;0;0;0;1;0;0
